pair_id,match_score,human_overall_fit_1to5,human_overall_fit_rescaled,skills_pred,skills_human_1to5,experience_pred,experience_human_1to5,education_pred,education_human_1to5,writing_quality_pred,shortlist_decision,hard_requirement_flag_met,human_rationale,explanation
PAIR_11,66.7,3,50.0,0.0,3,100.0,3,100.0,5,68,borderline,met,"Clears the business degree and the five-year business development floor comfortably, but the work is all local services and lending with no media, streaming or connected-TV exposure, which is the substance of the role.","Thank you for your application and for sharing your extensive 21 years of experience, along with your strong educational background that matches our requirements. However, we are moving forward with other candidates because this role specifically calls for expertise in business development, negotiation, project management, avod, svod, and tvod, which are currently missing from your profile. We genuinely appreciate your time and wish you the very best in your job search!"
PAIR_12,50.0,3,50.0,0.0,3,100.0,3,,4,62,reject,not met,"Deep distributor-channel selling, but all of it industrial valves and process control. The stated three years of beverage, DSD or CPG experience is not evidenced, which drives the reject despite a strong general profile.","Thank you for your strong interest and your impressive 26 years of professional experience in fields like business management, supply chain, and sales. However, this particular role requires specific background in Cpg experience, distributor management, Microsoft Office, sales data analysis, syndicated data, and trade analytics that we couldn't find highlighted in your profile. We encourage you to apply for other roles where your extensive business background is a closer match!"
PAIR_13,73.3,5,100.0,20.0,5,100.0,4,100.0,5,62,shortlist,met,"The closest match in the pool: over a decade of hands-on generalist HR covering onboarding, performance, compensation and HRIS, comfortably clear of the four-year and degree floors.","Thank you for applying! With your 19 years of experience and strong background in HRIS, ADP, and payroll processing, you bring a wealth of expertise to the table. However, this specific role requires proficiency in Microsoft Excel, Microsoft PowerPoint, Microsoft Word, and Workday, which are currently missing from your profile."
PAIR_14,16.7,1,0.0,0.0,1,0.0,1,50.0,2,62,reject,not met,"A graduating intern against a nine-year senior systems administration role. The active Top Secret clearance, US citizenship and Security+ certification are all stated as required and none is evidenced.","Thank you for your interest in the role! While you meet the degree-level requirement and bring great skills in Microsoft Excel, Word, PowerPoint, database, website management, and American Sign Language, this position requires 5 years of experience (you have 1) and specific technical expertise in Active Directory, CompTIA Security+, Linux, Oracle Database, PowerShell, VMware, Windows 10, and Windows Server. We encourage you to keep building your technical background and experience for future opportunities."
PAIR_15,0.0,5,100.0,0.0,5,,5,,4,68,shortlist,,"Same job title, same motion and a documented quota record. The only missing piece is financial-services exposure, which the JD lists as a differentiator rather than a requirement.","You bring an impressive 10.5 years of experience with strong skills in account management, cold calling, lead generation, and sales forecasting. However, this role specifically requires experience with 6sense, Salesforce, Salesloft, and ZoomInfo, which are currently missing from your background. We encourage you to highlight any transferable tool experience and thank you for your interest in the position!"
PAIR_16,33.3,4,75.0,0.0,5,100.0,4,0.0,2,75,reject,not met,"Content match is close to complete and the two-year leadership floor is cleared many times over, but the degree is in sports science and no technical certifications are listed, both stated as required education.","You bring an impressive 25 years of experience and a strong background in tools like Linux, Windows Server, and Cisco, significantly exceeding the experience requirement. However, this particular role requires specific skills in database management, hardware support, networking, report writing, and software support that weren't evident in your application, along with a matching educational background. We appreciate the depth of your technical expertise and encourage you to apply for roles that closely align with your extensive IT skill set."
PAIR_17,35.0,3,50.0,20.0,4,,3,50.0,5,68,borderline,Met,"Real IT director-level history with the right degree and certifications, but the last decade has been veterinary practice management, so the cloud and cybersecurity currency the JD leans on is unproven.","Thank you for applying! With your 20 years of experience and strong background in ITIL, you bring a solid foundation to the table. However, this role specifically requires expertise in cybersecurity, CISSP, cloud computing, and IT infrastructure, which are currently missing from your profile."
PAIR_18,80.0,4,75.0,40.0,5,100.0,4,100.0,5,45,shortlist,Met,"Pre-screen undersold this one. Recruitment, onboarding and payroll/benefits all match, and the experience floor is cleared.","It's great to see your strong background of 5 years of experience alongside your solid expertise in payroll and benefits administration. However, this role specifically requires experience in human resources, onboarding, and recruitment, which are currently missing from your profile. With your strong foundation and educational match, focusing on gaining experience in those missing areas will make you a much stronger fit for similar roles in the future!"
PAIR_19,50.0,3,50.0,0.0,3,100.0,3,,4,68,reject,Not met,"Six years under a business development manager title and solid general prospecting, but nothing on selling software platforms or professional services, both named under the JD's requirements.","Thank you for your application and for sharing your extensive 24-year background in finance, accounting, and business operations. However, this particular role requires specific technical expertise in integration and process tools like Appian, Boomi, MuleSoft, Workato, Jitterbit, and HubSpot, as well as core skills in business analysis, product management, and automation that are not currently highlighted in your profile. We appreciate your strong experience and wish you the best in your ongoing job search."
PAIR_20,25.0,1,0.0,0.0,2,,2,50.0,1,62,reject,Not met,"The requirement to have recently graduated with a bachelor's degree fails outright against a 1980 high school diploma, and the sales content is short retail stints rather than B2B outbound prospecting.","Thank you for your interest in the role and for sharing your extensive 25 years of experience. While your background includes strong skills in sales, customer service, and operations, this specific position requires targeted expertise in tools and systems like Apollo.io, Expandi, LinkedIn Sales Navigator, Salesloft, Reply, customer relationship management, and no-code platforms. Because your current skill set does not closely align with these specific technical requirements, we have decided not to move forward at this time, but we truly appreciate the time you took to apply."
PAIR_21,50.0,4,75.0,50.0,5,,4,,4,62,shortlist,,"Direct generalist coverage of the whole employee life cycle this coordinator role administers, with an HR master's on top. The step down in title is the only wrinkle and the JD sets no hard requirement.","Thank you for applying! You bring solid 3 years of experience and great technical strengths like Microsoft Office (including Excel, Word, PowerPoint, and Outlook), plus valuable HRIS knowledge like Paychex Flex, Paychex, ADA, EEO, FMLA, and POS. However, the role specifically requires experience with Paycom, which is currently missing from your background."
PAIR_22,77.8,3,50.0,33.3,3,100.0,3,100.0,4,68,reject,Not met,"Fifteen years of HR, but weighted to payroll and benefits administration rather than the strategic business-partner work. The required HR professional designation is not evidenced, which drives the reject.","With 15 years of HR experience and a strong background in HRIS, your educational background is a great match for this role. However, this specific position requires experience with payroll and SuccessFactors, which are missing from your current skill set."
PAIR_23,50.0,4,75.0,0.0,5,100.0,4,50.0,4,75,borderline,Not met,"Recruitment content is a direct match well past the one-year floor. The JD's requirement to live in or around Ottumwa cannot be checked against a CV whose locations are anonymised, so the decision is held at borderline.","You bring an impressive 15 years of experience and a matching degree level, which is a fantastic foundation! However, this role specifically requires experience with ATS, spreadsheet, and word processing tools. Because of this gap in specific software requirements and your field of study, we won't be moving forward this time, but we truly appreciate the time you took to apply."
PAIR_24,0.0,1,0.0,0.0,1,,1,,4,45,reject,Not met,Product design and insurance appraisal with no warehouse or material-handling work at all; the one year of warehouse experience and equipment familiarity the JD requires are simply absent.,"Thank you for applying! While your background includes strong administrative and design skills like data entry, AutoCAD, and Microsoft Excel, this particular role requires specific warehouse machinery and tool experience. At this time, we are moving forward with candidates who specifically bring hands-on expertise with a forklift, order picker, reach truck, and scanner."
PAIR_25,46.7,5,100.0,40.0,5,100.0,5,0.0,4,62,shortlist,Met,"ERP and financial-systems integration is this candidate's core work, with the ETL, reporting and stakeholder-translation elements all directly evidenced; the accounting associate is a bonus against a finance-systems analyst role.","With 9 years of experience, you easily exceed the required 5 years and bring strong foundational skills in ETL and Microsoft Excel. However, this specific role requires expertise in IFS, OneStream, and SAP Concur, which are currently missing from your background. We encourage you to highlight transferable technical skills from your extensive toolkit as you continue your job search!"
PAIR_26,100.0,2,25.0,100.0,2,100.0,2,,3,62,reject,Not met,Small-scale IT support and office administration against a GS-14 information system security officer post; the one year of GS-13 equivalent specialised experience the announcement requires is not evidenced.,"Thank you for your application and for sharing your extensive 20-year background with us. While your strong technical skill set—including Microsoft Excel, SQL, and customer relationship management—is impressive, this particular role requires specific skills that were not highlighted in your CV. We appreciate the time you took to apply and wish you the very best in your ongoing job search."
PAIR_27,50.0,2,25.0,0.0,3,100.0,2,,3,62,reject,Not met,"Materials ordering, vendor coordination and invoice approval do transfer, but there is no third-party logistics experience against a stated one-year minimum, and a construction manager is a long way from a generalist role.","With an impressive 33 years of experience—far exceeding the required 1 year—you bring strong expertise in telecommunications, project management, and budget forecasting. However, this specific role requires foundational skills that aren't highlighted on your CV, including 3PL operations, accounting, accounts payable/receivable, invoicing, and the Microsoft Office suite. Because of these missing financial and administrative requirements, we won't be moving forward at this time, but we appreciate your interest and wish you the best in your job search!"
PAIR_28,36.4,3,50.0,36.4,4,,3,,5,60,borderline,Not met,"Certifications and networking depth run ahead of the role, but the hands-on record is two internships and Active Directory appears only in a tools list, so the one-year AD floor is not evidenced. The shortfall is marginal rather than absolute.","You bring a strong foundation in Linux, active directory, DHCP, and DNS. However, the role requires several specific technologies that are currently missing from your profile, including group policy, kerberos, ldap, microsoft, nltm, powershell, and saml. With some targeted upskilling in these specific areas, you'll be in a much stronger position for this type of role!"
PAIR_29,50.0,2,25.0,0.0,3,100.0,3,50.0,2,62,reject,Not met,"Sound HR administration and onboarding, but pitched several levels below a manager who owns talent strategy and employee relations, and the required HR or business degree is a fine arts degree instead.","With six years of experience, you bring a strong background to the table, but this role specifically requires experience with applicant tracking, e-verify, and payroll. We were also looking for a closer match in the required education field. Thank you for your interest, and we encourage you to keep developing your expertise!"
PAIR_30,33.3,4,75.0,0.0,5,100.0,3,0.0,1,68,reject,Not met,"Strong HR process and compliance background; the gap is seniority rather than substance. The full JD, however, requires a bachelor's in HR management and three to five years at manager level, and the CV shows a high school diploma at specialist level.","You bring fantastic, extensive experience with over 10 years in the field—well above the 3 years required—along with valuable extra skills in recruiting, benefits, and SAP. However, this specific role requires several technical tools and administrative competencies that aren't on your CV yet, specifically 401(k) administration, applicant tracking systems, ERP, FMLA, HRIS, payroll, and Microsoft Office applications like Excel, Word, PowerPoint, and Office 365. With your strong HR background, gaining familiarity with these missing systems will make you a much stronger fit for this type of position in the future!"
