pair_id,match_score,human_overall_fit_1to5,human_overall_fit_rescaled,skills_pred,skills_human_1to5,experience_pred,experience_human_1to5,education_pred,education_human_1to5,shortlist_decision,hard_requirement_flag_met,human_rationale,judge_explanation
PAIR_18,92,4.0,80.0,95,5.0,90,4.0,95,5.0,shortlist,Met,"Pre-screen undersold this one. Recruitment, onboarding and payroll/benefits all match, and the experience floor is cleared.","The candidate strongly exceeds the requirements by holding a Master of Science in Human Resource Management and over 5 years of HR administration experience, surpassing the 2+ years required. The resume explicitly demonstrates core competencies matching the job description, including full-cycle recruitment, payroll and benefits administration, onboarding, and policy adherence."
PAIR_02,38,3.0,60.0,40,2.0,45,2.0,50,1.0,borderline,not met,"Ten years of sales performance and coaching work, but nothing on legal or professional-services marketing, proposals or pitches. The CV carries no education section at all against a stated BA/BS requirement, which is why the degree cannot be confirmed.","While the candidate meets the basic education requirement (BA/BS degree) and has extensive professional experience (>5 years), their background is deeply rooted in retail sales management, telecommunications, and performance consulting rather than professional services or law firm business development. They completely lack the required legal industry experience, marketing campaign design, proposal drafting, and energy/infrastructure or intellectual property sector background specified in the job description."
PAIR_19,45,3.0,60.0,40,3.0,55,3.0,80,4.0,reject,Not met,"Six years under a business development manager title and solid general prospecting, but nothing on selling software platforms or professional services, both named under the JD's requirements.","The candidate has long-standing experience as a Business Development Manager, meeting the 5+ years requirement, and holds relevant Master's degrees. However, the CV lacks critical technical must-haves: there is no mention of selling automation software (like Workato, Boomi, or Mulesoft) or experience with specific tools requested like HubSpot and SalesIntel, relying instead on vague, responsibility-only phrasing without measurable sales achievements."
PAIR_15,92,5.0,100.0,95,5.0,95,5.0,85,4.0,shortlist,N/A,"Same job title, same motion and a documented quota record. The only missing piece is financial-services exposure, which the JD lists as a differentiator rather than a requirement.","The candidate is an exceptionally strong match for the Business Development Representative role, bringing over a decade of proven BDR and sales experience with quantified achievements like exceeding quota consistently (up to 200%). They possess all core required skills including prospecting, cold outreach, and excellent communication, alongside significant overlap with the nice-to-haves (experience with Salesforce and enterprise accounts). While specific financial services experience isn't explicitly highlighted, their stellar sales track record and background as a BDR and Team Lead at Dell make them an elite candidate."
PAIR_11,62,3.0,60.0,70,3.0,65,3.0,90,5.0,borderline,met,"Clears the business degree and the five-year business development floor comfortably, but the work is all local services and lending with no media, streaming or connected-TV exposure, which is the substance of the role.","The candidate meets the must-haves for education (Bachelor's in Business Management) and has extensive business development and negotiation experience exceeding the 5+ years requirement. However, the CV lacks specific experience in digital media platforms, Connected TV (CTV), or streaming business models (AVOD, SVOD, TVOD) requested by the job description, making it a partial industry mismatch despite strong core sales and account management skills."
PAIR_12,45,3.0,60.0,40,3.0,45,3.0,70,4.0,reject,not met,"Deep distributor-channel selling, but all of it industrial valves and process control. The stated three years of beverage, DSD or CPG experience is not evidenced, which drives the reject despite a strong general profile.","While the candidate has strong overall sales and business development experience, they lack the required 3+ years of beverage, DSD (Direct-Store-Delivery), or CPG distributor management experience specifically called for in the must-haves. Their background is heavily rooted in industrial valves, automation, and B2B engineering sales rather than the non-alcoholic beverage industry, bottler operations, and syndicated data analysis required for this Territory Sales Manager role."
PAIR_08,10,1.0,20.0,15,1.0,5,1.0,20,1.0,reject,not met,"Entry-level retail and hospitality against a senior international B2B technology sales role. Spanish is named in the job title and is nowhere on the CV, which drives the reject.","The candidate lacks the critical must-have experience in B2B SaaS sales, technology sales, and enterprise account management required for this senior Business Development Manager role. The resume only reflects entry-level retail and hospitality roles (sales associate, cashier, housekeeper) with no evidence of closing complex B2B deals or managing regional sales strategies."
PAIR_06,68,4.0,80.0,70,4.0,65,4.0,75,4.0,shortlist,N/A,Pre-screen scored this weak on vocabulary alone. The substance is a long consultative-sales and new-business record against a commission role that sets no licensing or sector barrier at all.,"The candidate has extensive high-level sales, business development, and account management experience that easily satisfies the general sales requirements of the role. However, their background is heavily rooted in corporate/mortgage/IT B2B/B2C sectors rather than direct nationwide health insurance or healthcare plan sales. While they have a Pharmacy Technician certification, the role is primarily a commission-based sales specialist position focusing on small businesses and individuals, making this a strong general sales match with minor domain divergence."
PAIR_20,12,1.0,20.0,30,2.0,5,2.0,0,1.0,reject,Not met,"The requirement to have recently graduated with a bachelor's degree fails outright against a 1980 high school diploma, and the sales content is short retail stints rather than B2B outbound prospecting.","The candidate falls drastically short of the must-haves for this entry-level Business Development Representative role. The job explicitly requires a recent Bachelor's degree (preferably in business), whereas the candidate's highest education is a high school diploma from 1980, and their extensive 25-year career of senior management and operations experience makes them heavily overqualified for an entry-level outbound sales and lead generation position."
PAIR_05,10,1.0,20.0,20,1.0,5,1.0,50,2.0,reject,not met,"The pre-screen was misled by the word maintenance: industrial hydroblasting and building upkeep against airline maintenance control, with no FAA Airframe and Powerplant licence anywhere on the CV.","The candidate lacks the critical must-have requirement of an FAA Airframe and Powerplant (A&P) license and has no background in aviation maintenance control. While they possess a high school diploma, their professional experience is in hydroblasting, construction, and general building maintenance rather than airline or aircraft operations."
PAIR_04,35,2.0,40.0,40,2.0,30,2.0,70,3.0,reject,not met,"Aviation dispatch and vendor negotiation transfer in a general way, but there is no freight brokerage work and no book of business, both of which the JD lists under requirements.","The candidate lacks key must-have requirements for this freight broker role, specifically 1+ years of cradle-to-grave freight brokerage experience and a currently managed book of freight business. While the candidate has strong financial management, procurement, and logistics-adjacent experience (such as trip coordination and airline operations), their background is rooted in corporate finance rather than third-party freight sales and carrier/customer management."
PAIR_09,75,3.0,60.0,70,3.0,80,3.0,70,3.0,borderline,N/A,"No warehouse job title as such, but four years of physically demanding aircraft maintenance and some stockroom work against a JD that says it will train the right candidate. Could go either way on the wider pool.","The candidate demonstrates strong physical and operational capability through prior retail stock/warehouse experience (using pallet jacks and hand trucks) and military service as an Aviation Electrician. While warehouse experience is preferred rather than strictly required, the candidate meets the core physical and work-ethic demands outlined in the job description."
PAIR_27,12,2.0,40.0,25,3.0,5,2.0,40,3.0,reject,Not met,"Materials ordering, vendor coordination and invoice approval do transfer, but there is no third-party logistics experience against a stated one-year minimum, and a construction manager is a long way from a generalist role.","This is a severe mismatch between the candidate's background and the job requirements. The candidate has 33+ years of specialized experience in heavy telecommunications, OSP construction, and fiber/copper engineering, whereas the job is a versatile Generalist role for a 3PL (third-party logistics) brokerage focusing on shipping operations, freight coordination, and basic accounting. While the candidate possesses some transferable skills like invoicing and budgeting, they completely lack the mandatory 1 year of 3PL operations experience and logistics domain expertise required for the role."
PAIR_24,10,1.0,20.0,10,1.0,5,1.0,50,4.0,reject,Not met,Product design and insurance appraisal with no warehouse or material-handling work at all; the one year of warehouse experience and equipment familiarity the JD requires are simply absent.,"The candidate has no relevant warehouse, material handling equipment (forklift/reach truck), or logistics experience, which are critical must-haves for this role. Their background is entirely in product design, interior architecture, and insurance appraisal, showing a complete mismatch in both skills and career trajectory."
PAIR_01,38,1.0,20.0,45,1.0,25,1.0,90,1.0,reject,not met,The candidate's background does not match the job description at all.,"The candidate has strong academic credentials including a Bachelor's and Master's in Mechanical Engineering, satisfying the preferred education requirement. However, the role requires supervising package handlers, managing warehouse operations, attendance tracking, and shift coordination, whereas the candidate's background is entirely in R&D engineering, robotics, and software development with zero leadership or warehouse operations experience. While Microsoft Office was listed implicitly via document editing tools, the critical lack of operational supervision and management experience heavily penalizes the overall match."
